age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
33,?,126618,5th-6th,4,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,-42,0,40,Laos,>50K
42,Private,25196,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,6,-1,40,United-States,>50K
19,Private,259489,HS-grad,9,Never-married,Sales,Own-child,White,Female,-35,0,40,United-States,<=50K
58,?,255292,5th-6th,3,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,-34,-1,40,Guatemala,<=50K
29,Self-emp-inc,70663,Prof-school,15,Married-civ-spouse,Sales,Husband,White,Male,3350,0,43,United-States,<=50K
25,Private,212241,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,-4,-1,30,United-States,<=50K
52,Private,27278,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Male,0,-1,40,United-States,<=50K
25,Private,191429,10th,4,Never-married,Protective-serv,Not-in-family,Other,Male,-26,-1,40,United-States,<=50K
67,Private,66049,HS-grad,9,Divorced,Priv-house-serv,Not-in-family,White,Female,-22,0,35,United-States,<=50K
16,Private,31190,12th,8,Never-married,Farming-fishing,Own-child,White,Female,-32,0,24,United-States,<=50K
35,Federal-gov,186807,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,-14,0,35,United-States,<=50K
36,Private,85640,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,20,0,40,United-States,>50K
24,Private,27028,12th,8,Married-spouse-absent,Farming-fishing,Own-child,White,Female,10,0,19,United-States,<=50K
19,Private,175724,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,-3,-1,17,United-States,<=50K
45,Private,92307,Bachelors,13,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,-13,0,43,Nicaragua,>50K
15,Private,211864,11th,8,Divorced,Sales,Own-child,White,Male,-40,1,40,United-States,<=50K
67,?,194789,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,-25,-1,40,United-States,<=50K
25,Private,124942,Bachelors,13,Never-married,Craft-repair,Own-child,White,Male,-15,0,36,United-States,<=50K
49,Local-gov,222282,HS-grad,9,Divorced,Other-service,Own-child,Black,Female,7,0,58,United-States,<=50K
58,Private,96801,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,-11,0,40,United-States,<=50K
24,Private,364247,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,-38,0,20,United-States,<=50K
54,Private,27392,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,-2,0,30,United-States,<=50K
20,Private,247965,HS-grad,9,Never-married,Other-service,Other-relative,White,Female,-15,0,40,United-States,<=50K
66,?,216797,5th-6th,4,Married-civ-spouse,?,Husband,Black,Male,-61,1,40,Laos,<=50K
23,Private,235028,9th,5,Widowed,Other-service,Not-in-family,White,Female,-10,0,31,Dominican-Republic,<=50K
42,Private,189834,Masters,14,Never-married,Other-service,Not-in-family,White,Male,-3,0,45,United-States,>50K
45,Private,175660,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,8,1838,40,Jamaica,>50K
48,Private,31887,Bachelors,13,Widowed,Machine-op-inspct,Unmarried,Other,Male,1,0,19,United-States,<=50K
18,Private,544314,9th,4,Married-spouse-absent,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,-10,0,30,Mexico,<=50K
51,Private,149363,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,-29,-1,40,?,<=50K
26,Self-emp-not-inc,357425,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,14721,0,64,United-States,>50K
45,Private,36768,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,3111,0,40,United-States,<=50K
46,Private,155984,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,7,-1,31,United-States,<=50K
16,Private,54383,HS-grad,9,Never-married,Other-service,Own-child,White,Female,-8,0,19,United-States,<=50K
23,Private,181503,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,12,0,50,United-States,<=50K
42,Private,45160,HS-grad,9,Divorced,Other-service,Not-in-family,Asian-Pac-Islander,Female,2,-1,40,South,<=50K
41,Private,350790,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Male,-28,0,18,United-States,<=50K
22,Private,238391,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,-25,-1,36,United-States,<=50K
63,Self-emp-inc,116604,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,-22,-1,40,United-States,<=50K
31,Private,162180,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,-42,-1,45,United-States,>50K
39,Private,306823,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,-26,0,40,United-States,<=50K
50,Private,99657,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-8,0,40,United-States,<=50K
66,Private,103938,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Male,-30,-1,40,United-States,<=50K
52,Federal-gov,49334,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,-7,1,65,United-States,>50K
42,Private,293527,Assoc-voc,11,Separated,Tech-support,Unmarried,White,Female,-3,0,40,Germany,<=50K
27,Private,230983,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,-13,0,40,United-States,>50K
22,?,132451,11th,7,Never-married,?,Own-child,White,Male,18,1,29,United-States,<=50K
37,Private,304146,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,23,-1,21,United-States,>50K
27,Private,12146,Bachelors,13,Never-married,Exec-managerial,Other-relative,White,Female,-24,1,40,United-States,<=50K
40,State-gov,322802,Some-college,10,Never-married,Handlers-cleaners,Husband,White,Male,-9,0,40,United-States,>50K
26,Private,503847,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,1,-1,30,United-States,<=50K
43,Private,11320,9th,3,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,6,0,40,Japan,<=50K
45,Private,36616,Masters,14,Married-civ-spouse,Craft-repair,Husband,White,Male,-12,0,40,United-States,>50K
48,Local-gov,319520,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Black,Male,3257,0,34,United-States,<=50K
25,Private,339642,10th,7,Separated,Other-service,Not-in-family,Black,Female,-42,0,40,United-States,<=50K
44,Private,114101,Prof-school,14,Widowed,Adm-clerical,Not-in-family,White,Female,-3,0,40,El-Salvador,<=50K
49,Private,114602,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,-10,1,40,United-States,<=50K
17,Private,154011,11th,8,Never-married,Handlers-cleaners,Own-child,White,Female,-43,-1,40,United-States,<=50K
27,Private,309649,HS-grad,15,Never-married,Prof-specialty,Other-relative,White,Male,-17,0,40,United-States,<=50K
37,Private,176992,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,-16,-1,40,United-States,<=50K
62,?,270546,Some-college,10,Married-civ-spouse,?,Husband,White,Male,-10,1,21,United-States,>50K
