age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,age_binned,conditioned_on,capital-gain_binned,hours-per-week_binned,education-num_binned,capital-loss_binned
39,Local-gov,213487,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,3,0,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,360237,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,-1,0,30,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,80595,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,-19,0,20,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,198640,HS-grad,9,Married-civ-spouse,Protective-serv,Wife,White,Female,-19,0,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,160933,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,-10,-1,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,222530,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,-57,1,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,206678,12th,8,Separated,Other-service,Unmarried,White,Male,-45,0,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,49141,9th,7,Married-civ-spouse,Farming-fishing,Husband,Black,Male,-34,-1,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,123547,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,35,0,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,14268,7th-8th,5,Divorced,Farming-fishing,Unmarried,White,Male,-19,-1,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,338841,Some-college,10,Divorced,Tech-support,Not-in-family,Black,Male,-10,0,50,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,142492,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,-14,-1,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Local-gov,49980,Assoc-acdm,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,10,-1,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,State-gov,89216,Prof-school,16,Never-married,Prof-specialty,Not-in-family,White,Female,-30,0,34,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,53895,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7941,0,44,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,92981,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,-34,0,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Self-emp-not-inc,136621,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,-36,-1,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,191660,Prof-school,14,Never-married,Adm-clerical,Unmarried,White,Female,14725,0,45,?,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,?,351186,HS-grad,13,Separated,?,Unmarried,White,Female,-11,0,30,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,140789,Assoc-acdm,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,-8,-1,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,23794,HS-grad,9,Divorced,Adm-clerical,Husband,White,Female,-26,0,36,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Federal-gov,57833,Doctorate,15,Married-civ-spouse,Prof-specialty,Husband,White,Female,7090,-1,38,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Federal-gov,213348,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,229348,HS-grad,9,Never-married,Protective-serv,Own-child,White,Female,-4,0,36,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,250985,10th,4,Widowed,Priv-house-serv,Unmarried,White,Female,2,0,40,Ecuador,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,213769,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,-14,-1,40,Cambodia,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,468550,Assoc-acdm,13,Never-married,Adm-clerical,Not-in-family,Black,Female,2545,-1,35,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,333821,9th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,-11,0,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,174184,Some-college,8,Never-married,Handlers-cleaners,Other-relative,White,Male,-9,0,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,37077,9th,7,Separated,Other-service,Unmarried,Black,Female,-17,0,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Self-emp-not-inc,293715,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15309,-1,65,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,86191,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,1,0,35,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Local-gov,116447,Masters,9,Married-civ-spouse,Protective-serv,Husband,Black,Male,-20,0,40,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,211492,HS-grad,9,Widowed,Adm-clerical,Unmarried,Black,Female,-39,0,35,Jamaica,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,96748,Bachelors,14,Never-married,Prof-specialty,Husband,Asian-Pac-Islander,Female,-5,0,40,India,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,301807,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,40,Cuba,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
