age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,age_binned,conditioned_on,capital-gain_binned,hours-per-week_binned,education-num_binned,capital-loss_binned
39,Self-emp-not-inc,214338,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,7637,1,9,United-States,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,111338,Masters,14,Never-married,Craft-repair,Not-in-family,White,Male,-3,1,40,Iran,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Self-emp-not-inc,258330,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Female,2,1,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,181806,Some-college,10,Never-married,Craft-repair,Other-relative,White,Male,1,0,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,118677,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,-3,0,11,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,198441,HS-grad,9,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,5,0,60,Mexico,>50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Federal-gov,281363,HS-grad,16,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,7,1,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,399759,7th-8th,4,Married-spouse-absent,Craft-repair,Unmarried,White,Male,-8,0,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,142810,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,-10,0,40,Italy,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,286645,7th-8th,4,Divorced,Craft-repair,Unmarried,White,Female,7,1,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,135672,Some-college,10,Never-married,Transport-moving,Husband,Other,Male,19,1,36,Nicaragua,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,264210,1st-4th,4,Separated,Handlers-cleaners,Own-child,White,Male,26,1,40,Mexico,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,State-gov,210255,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Black,Male,-6,0,40,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,142730,Some-college,10,Never-married,Adm-clerical,Other-relative,White,Female,-16,0,14,United-States,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
39,Private,183894,5th-6th,3,Separated,Priv-house-serv,Other-relative,White,Female,-17,0,40,Mexico,<=50K,"(38.0, 39.0]","age_binned=(38.0, 39.0]",,,,
